Prof.	Profesor	<http://cs.wikipedia.org/wiki/Profesor>	
Dr.	Doktor (titul)	<http://cs.wikipedia.org/wiki/Doktor_(titul)>	
Msgr.	Monsignore	<http://cs.wikipedia.org/wiki/Monsignore>	
P.V.O.	Psí vojáci	<http://cs.wikipedia.org/wiki/Psí_vojáci>	
H.r.g.	Tiskárna H.R.G.	<http://cs.wikipedia.org/wiki/Tiskárna_H.R.G.>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Company>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
V.v.i.	Veřejná výzkumná instituce	<http://cs.wikipedia.org/wiki/Veřejná_výzkumná_instituce>	
Př.n.l.	Př. n. l.	<http://cs.wikipedia.org/wiki/Př._n._l.>	
N.l.	Anno Domini	<http://cs.wikipedia.org/wiki/Anno_Domini>	
FRCPsych.	Royal College of Psychiatrists	<http://cs.wikipedia.org/wiki/Royal_College_of_Psychiatrists>	
Syn.	Synonymum	<http://cs.wikipedia.org/wiki/Synonymum>	
DiS.	Diplomovaný specialista	<http://cs.wikipedia.org/wiki/Diplomovaný_specialista>	
S.l.	SL	<http://cs.wikipedia.org/wiki/SL>	
A.C.L.	Teilhol	<http://cs.wikipedia.org/wiki/Teilhol>	
S.H.A.R.P.	Skinheads Against Racial Prejudice	<http://cs.wikipedia.org/wiki/Skinheads_Against_Racial_Prejudice>	
Sg.	Jednotné číslo	<http://cs.wikipedia.org/wiki/Jednotné_číslo>	
Pl.	Množné číslo	<http://cs.wikipedia.org/wiki/Množné_číslo>	
Střlat.	Latina	<http://cs.wikipedia.org/wiki/Latina>	<http://dbpedia.org/ontology/Language>,<http://schema.org/Language> 
Řec.	Řečtina	<http://cs.wikipedia.org/wiki/Řečtina>	<http://dbpedia.org/ontology/Language>,<http://schema.org/Language> 
OFMCap.	Řád menších bratří kapucínů	<http://cs.wikipedia.org/wiki/Řád_menších_bratří_kapucínů>	
P.R.B.	Prerafaelité	<http://cs.wikipedia.org/wiki/Prerafaelité>	
Ph.Dr.	Doktor filozofie	<http://cs.wikipedia.org/wiki/Doktor_filozofie>	
RCDr.	Doktor obchodních věd	<http://cs.wikipedia.org/wiki/Doktor_obchodních_věd>	
LL.M.	Master of Laws	<http://cs.wikipedia.org/wiki/Master_of_Laws>	
M.Sc.	Master of Science	<http://cs.wikipedia.org/wiki/Master_of_Science>	
V.r.	Vlastní rukou	<http://cs.wikipedia.org/wiki/Vlastní_rukou>	
R.F.G.	Třinecké železárny	<http://cs.wikipedia.org/wiki/Třinecké_železárny>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Company>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
J.K.V.	Královská Výsost	<http://cs.wikipedia.org/wiki/Královská_Výsost>	
RSDr.	Doktor sociálně-politických věd	<http://cs.wikipedia.org/wiki/Doktor_sociálně-politických_věd>	
JUDr.	Doktor práv	<http://cs.wikipedia.org/wiki/Doktor_práv>	
RNDr.	Doktor přírodních věd	<http://cs.wikipedia.org/wiki/Doktor_přírodních_věd>	
MUDr.	Doktor všeobecného lékařství	<http://cs.wikipedia.org/wiki/Doktor_všeobecného_lékařství>	
MVDr.	Doktor veterinární medicíny	<http://cs.wikipedia.org/wiki/Doktor_veterinární_medicíny>	
MgA.	Magistr umění	<http://cs.wikipedia.org/wiki/Magistr_umění>	
PaedDr.	Doktor pedagogiky	<http://cs.wikipedia.org/wiki/Doktor_pedagogiky>	
BcA.	Bakalář umění	<http://cs.wikipedia.org/wiki/Bakalář_umění>	
Mr.	MR	<http://cs.wikipedia.org/wiki/MR>	
RTDr.	Doktor technických věd	<http://cs.wikipedia.org/wiki/Doktor_technických_věd>	
Negima!	Mahó Sensei Negima!	<http://cs.wikipedia.org/wiki/Mahó_Sensei_Negima!>	
P.U.D.	Průšovo umělecké-úchylné divadlo	<http://cs.wikipedia.org/wiki/Průšovo_umělecké-úchylné_divadlo>	
Mld.	Miliarda	<http://cs.wikipedia.org/wiki/Miliarda>	
Isonym.	Isonymum	<http://cs.wikipedia.org/wiki/Isonymum>	
Etc.	Atd.	<http://cs.wikipedia.org/wiki/Atd.>	
D.I.Y.	Do it yourself	<http://cs.wikipedia.org/wiki/Do_it_yourself>	
T.o.t.t.	Thomas Ott	<http://cs.wikipedia.org/wiki/Thomas_Ott>	
Texy!	David Grudl	<http://cs.wikipedia.org/wiki/David_Grudl>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
N.W.A.	N.W.A	<http://cs.wikipedia.org/wiki/N.W.A>	
L.A.	Los Angeles	<http://cs.wikipedia.org/wiki/Los_Angeles>	<http://dbpedia.org/ontology/City>,<http://dbpedia.org/ontology/Place>,<http://dbpedia.org/ontology/PopulatedPlace>,<http://dbpedia.org/ontology/Settlement>,<http://schema.org/City>,<http://schema.org/Place> 
Stol.	Století	<http://cs.wikipedia.org/wiki/Století>	
JUC.	Doktor práv	<http://cs.wikipedia.org/wiki/Doktor_práv>	
J.V.	Výsost	<http://cs.wikipedia.org/wiki/Výsost>	
Akad.	Akademik	<http://cs.wikipedia.org/wiki/Akademik>	
Sugar!	Sugar! (Někdo to rád horké)	<http://cs.wikipedia.org/wiki/Sugar!_(Někdo_to_rád_horké)>	
Bs.	Venezuelský bolívar	<http://cs.wikipedia.org/wiki/Venezuelský_bolívar>	
Proboha!	Religulous	<http://cs.wikipedia.org/wiki/Religulous>	
U.S.A.	Spojené státy americké	<http://cs.wikipedia.org/wiki/Spojené_státy_americké>	<http://dbpedia.org/ontology/Country>,<http://dbpedia.org/ontology/Place>,<http://dbpedia.org/ontology/PopulatedPlace>,<http://schema.org/Country>,<http://schema.org/Place> 
PowerNow!	AMD PowerNow!	<http://cs.wikipedia.org/wiki/AMD_PowerNow!>	
M.S.	Master of Science	<http://cs.wikipedia.org/wiki/Master_of_Science>	
Fol.	Folio	<http://cs.wikipedia.org/wiki/Folio>	
L.A.M.F.	L. A. M. F.	<http://cs.wikipedia.org/wiki/L._A._M._F.>	<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum> 
A.M.I.M.S.	A. M. I. M. S.	<http://cs.wikipedia.org/wiki/A._M._I._M._S.>	
YAHOO!	Yahoo!	<http://cs.wikipedia.org/wiki/Yahoo!>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Company>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
N.V.Ú.	N. V. Ú.	<http://cs.wikipedia.org/wiki/N._V._Ú.>	
J.D.	Doktor práv	<http://cs.wikipedia.org/wiki/Doktor_práv>	
LL.D.	Doktor práv	<http://cs.wikipedia.org/wiki/Doktor_práv>	
ICLic.	Licenciát kanonického práva	<http://cs.wikipedia.org/wiki/Licenciát_kanonického_práva>	
ישראל.	.il	<http://cs.wikipedia.org/wiki/.il>	
الجزائر.	.dz	<http://cs.wikipedia.org/wiki/.dz>	
P.o.	PO	<http://cs.wikipedia.org/wiki/PO>	
S.a.	SA	<http://cs.wikipedia.org/wiki/SA>	
B.Sc.	Bachelor of Science	<http://cs.wikipedia.org/wiki/Bachelor_of_Science>	
M.O.V.	Mezinárodní olympijský výbor	<http://cs.wikipedia.org/wiki/Mezinárodní_olympijský_výbor>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
N.O.V.	Národní olympijský výbor	<http://cs.wikipedia.org/wiki/Národní_olympijský_výbor>	
SmackDown!	WWE SmackDown	<http://cs.wikipedia.org/wiki/WWE_SmackDown>	
MSc.	Master of Science	<http://cs.wikipedia.org/wiki/Master_of_Science>	
Č.p.	Číslo popisné	<http://cs.wikipedia.org/wiki/Číslo_popisné>	
N.O.T.E.S.	Natural orifice transluminal endoscopic surgery	<http://cs.wikipedia.org/wiki/Natural_orifice_transluminal_endoscopic_surgery>	
PhC.	Doktor filozofie	<http://cs.wikipedia.org/wiki/Doktor_filozofie>	
P.a.	Annum	<http://cs.wikipedia.org/wiki/Annum>	
C.A.P.	Compagnie des Arts Photomécaniques	<http://cs.wikipedia.org/wiki/Compagnie_des_Arts_Photomécaniques>	
RNC.	Doktor přírodních věd	<http://cs.wikipedia.org/wiki/Doktor_přírodních_věd>	
Pers.	Christiaan Hendrik Persoon	<http://cs.wikipedia.org/wiki/Christiaan_Hendrik_Persoon>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://dbpedia.org/ontology/Scientist>,<http://schema.org/Person> 
L.B.P.	Markéta Poulíčková	<http://cs.wikipedia.org/wiki/Markéta_Poulíčková>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/Person>,<http://dbpedia.org/ontology/Actor>,<http://schema.org/Person> 
Ing.arch.	Inženýr architekt	<http://cs.wikipedia.org/wiki/Inženýr_architekt>	
PaeDr.	Doktor pedagogiky	<http://cs.wikipedia.org/wiki/Doktor_pedagogiky>	
