Clairv.	Joseph Philippe de Clairville	<http://et.wikipedia.org/wiki/Joseph_Philippe_de_Clairville>	
Rich.	Louis Claude Richard	<http://et.wikipedia.org/wiki/Louis_Claude_Richard>	
Bartl.	Friedrich Gottlieb Bartling	<http://et.wikipedia.org/wiki/Friedrich_Gottlieb_Bartling>	
Endl.	Stephan Endlicher	<http://et.wikipedia.org/wiki/Stephan_Endlicher>	
Luerss.	Christian Luerssen	<http://et.wikipedia.org/wiki/Christian_Luerssen>	
Carr.	Élie-Abel Carrière	<http://et.wikipedia.org/wiki/Élie-Abel_Carrière>	
Bertol.	Antonio Bertoloni	<http://et.wikipedia.org/wiki/Antonio_Bertoloni>	
Zucc.	Joseph Gerhard Zuccarini	<http://et.wikipedia.org/wiki/Joseph_Gerhard_Zuccarini>	
S.o.t.t.	Quod erat demonstrandum	<http://et.wikipedia.org/wiki/Quod_erat_demonstrandum>	
M.o.t.t.	Quod erat demonstrandum	<http://et.wikipedia.org/wiki/Quod_erat_demonstrandum>	
Cresc.	Crescendo	<http://et.wikipedia.org/wiki/Crescendo>	
T.I.P.	T.I.	<http://et.wikipedia.org/wiki/T.I.>	
U.I.M.	Rahvusvaheline Veemoto Liit	<http://et.wikipedia.org/wiki/Rahvusvaheline_Veemoto_Liit>	
B.o.B.	B.o.B	<http://et.wikipedia.org/wiki/B.o.B>	
Sonn.	Pierre Sonnerat	<http://et.wikipedia.org/wiki/Pierre_Sonnerat>	
C!S!E!	Korporatsioon Sororitas Estoniae	<http://et.wikipedia.org/wiki/Korporatsioon_Sororitas_Estoniae>	
Korp!	Üliõpilaskorporatsioon	<http://et.wikipedia.org/wiki/Üliõpilaskorporatsioon>	
E.G.O.	Estonian Guitar Octet	<http://et.wikipedia.org/wiki/Estonian_Guitar_Octet>	
A.Rich.	Achille Richard	<http://et.wikipedia.org/wiki/Achille_Richard>	
A.e.t.	Lisaaeg	<http://et.wikipedia.org/wiki/Lisaaeg>	
Bechst.	Johann Matthäus Bechstein	<http://et.wikipedia.org/wiki/Johann_Matthäus_Bechstein>	
Hook.	William Hooker	<http://et.wikipedia.org/wiki/William_Hooker>	
H.D.	Hilda Doolittle	<http://et.wikipedia.org/wiki/Hilda_Doolittle>	
L.A.	Los Angeles	<http://et.wikipedia.org/wiki/Los_Angeles>	
N.Y.C.	New York	<http://et.wikipedia.org/wiki/New_York>	
Var.	Teisend (bioloogia)	<http://et.wikipedia.org/wiki/Teisend_(bioloogia)>	
F.F.F.F.	Kunstirühmitus F.F.F.F.	<http://et.wikipedia.org/wiki/Kunstirühmitus_F.F.F.F.>	
T.N.T.	Tallinna Noored Tegijad	<http://et.wikipedia.org/wiki/Tallinna_Noored_Tegijad>	
Gasp.	Guglielmo Gasparrini	<http://et.wikipedia.org/wiki/Guglielmo_Gasparrini>	
!Ka-Boom!	!Ka-Boom! Estudio	<http://et.wikipedia.org/wiki/!Ka-Boom!_Estudio>	
