U.S.A.	Stati Uniti d'America	<http://it.wikipedia.org/wiki/Stati_Uniti_d'America>	<http://dbpedia.org/ontology/Country>,<http://dbpedia.org/ontology/Place>,<http://dbpedia.org/ontology/PopulatedPlace>,<http://schema.org/Country>,<http://schema.org/Place> 
SmackDown!	WWE SmackDown	<http://it.wikipedia.org/wiki/WWE_SmackDown>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow>,<http://schema.org/CreativeWork> 
Smackdown!	WWE SmackDown	<http://it.wikipedia.org/wiki/WWE_SmackDown>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow>,<http://schema.org/CreativeWork> 
SER.T.	Servizio per le tossicodipendenze	<http://it.wikipedia.org/wiki/Servizio_per_le_tossicodipendenze>	
UN.FOE.PRAE.	Universalis Foederatio Praesepistica	<http://it.wikipedia.org/wiki/Universalis_Foederatio_Praesepistica>	
B.-P.	Robert Baden-Powell	<http://it.wikipedia.org/wiki/Robert_Baden-Powell>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/MilitaryPerson>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Cic.	Marco Tullio Cicerone	<http://it.wikipedia.org/wiki/Marco_Tullio_Cicerone>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Suet.	Gaio Svetonio Tranquillo	<http://it.wikipedia.org/wiki/Gaio_Svetonio_Tranquillo>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Macrob.	Ambrogio Teodosio Macrobio	<http://it.wikipedia.org/wiki/Ambrogio_Teodosio_Macrobio>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Plin.	Gaio Plinio Secondo	<http://it.wikipedia.org/wiki/Gaio_Plinio_Secondo>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Liv.	Tito Livio	<http://it.wikipedia.org/wiki/Tito_Livio>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Plut.	Plutarco	<http://it.wikipedia.org/wiki/Plutarco>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
M.A.G.O.	Hogwarts	<http://it.wikipedia.org/wiki/Hogwarts>	
Dionys.	Dionigi di Alicarnasso	<http://it.wikipedia.org/wiki/Dionigi_di_Alicarnasso>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Tac.	Publio Cornelio Tacito	<http://it.wikipedia.org/wiki/Publio_Cornelio_Tacito>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Veg.	Publio Vegezio Renato	<http://it.wikipedia.org/wiki/Publio_Vegezio_Renato>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Engl.	Adolf Engler	<http://it.wikipedia.org/wiki/Adolf_Engler>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Kin-Dza-Dza!	Kin-dza-dza!	<http://it.wikipedia.org/wiki/Kin-dza-dza!>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
CO.N.SO.B.	Commissione Nazionale per le Società e la Borsa	<http://it.wikipedia.org/wiki/Commissione_Nazionale_per_le_Società_e_la_Borsa>	
Lehm.	Johann Georg Christian Lehmann	<http://it.wikipedia.org/wiki/Johann_Georg_Christian_Lehmann>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Zanted.	Giovanni Zantedeschi	<http://it.wikipedia.org/wiki/Giovanni_Zantedeschi>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Parl.	Filippo Parlatore	<http://it.wikipedia.org/wiki/Filippo_Parlatore>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Tod.	Agostino Todaro	<http://it.wikipedia.org/wiki/Agostino_Todaro>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://dbpedia.org/ontology/Politician>,<http://schema.org/Person> 
Becc.	Odoardo Beccari	<http://it.wikipedia.org/wiki/Odoardo_Beccari>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Thunb.	Carl Peter Thunberg	<http://it.wikipedia.org/wiki/Carl_Peter_Thunberg>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
OnStage!	On Stage!	<http://it.wikipedia.org/wiki/On_Stage!>	
Hook.f.	Joseph Dalton Hooker	<http://it.wikipedia.org/wiki/Joseph_Dalton_Hooker>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
I.V.A.	Imposta sul valore aggiunto	<http://it.wikipedia.org/wiki/Imposta_sul_valore_aggiunto>	
I.v.a.	Imposta sul valore aggiunto	<http://it.wikipedia.org/wiki/Imposta_sul_valore_aggiunto>	
Lindl.	John Lindley	<http://it.wikipedia.org/wiki/John_Lindley>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
S.M.A.R.T.	Self-Monitoring, Analysis and Reporting Technology	<http://it.wikipedia.org/wiki/Self-Monitoring,_Analysis_and_Reporting_Technology>	
F.M.S.	Fabbrica Macchine e Stampi	<http://it.wikipedia.org/wiki/Fabbrica_Macchine_e_Stampi>	
E.N.A.C.	Ente nazionale per l'aviazione civile	<http://it.wikipedia.org/wiki/Ente_nazionale_per_l'aviazione_civile>	
E.n.a.c.	Ente nazionale per l'aviazione civile	<http://it.wikipedia.org/wiki/Ente_nazionale_per_l'aviazione_civile>	
Desf.	René Louiche Desfontaines	<http://it.wikipedia.org/wiki/René_Louiche_Desfontaines>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Miq.	Friedrich Anton Wilhelm Miquel	<http://it.wikipedia.org/wiki/Friedrich_Anton_Wilhelm_Miquel>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Bastard!	Bastard!!	<http://it.wikipedia.org/wiki/Bastard!!>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/WrittenWork>,<http://dbpedia.org/ontology/Manga>,<http://dbpedia.org/ontology/Comics>,<http://schema.org/CreativeWork> 
A.t.x.	ATX	<http://it.wikipedia.org/wiki/ATX>	
C.N.G.E.I.	Corpo Nazionale Giovani Esploratori ed Esploratrici Italiani	<http://it.wikipedia.org/wiki/Corpo_Nazionale_Giovani_Esploratori_ed_Esploratrici_Italiani>	
Pirates!	Sid Meier's Pirates!	<http://it.wikipedia.org/wiki/Sid_Meier's_Pirates!>	<http://dbpedia.org/ontology/Software>,<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/VideoGame>,<http://schema.org/CreativeWork> 
F.a.p.	FAP	<http://it.wikipedia.org/wiki/FAP>	
Raunk.	Christen Raunkiær	<http://it.wikipedia.org/wiki/Christen_Raunkiær>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
E.L.I.O.	E.L.I.O. - The Artists Formerly Known As Elio e le Storie Tese	<http://it.wikipedia.org/wiki/E.L.I.O._-_The_Artists_Formerly_Known_As_Elio_e_le_Storie_Tese>	<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum> 
All'arrembaggio!	One Piece	<http://it.wikipedia.org/wiki/One_Piece>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/WrittenWork>,<http://dbpedia.org/ontology/Manga>,<http://dbpedia.org/ontology/Comics>,<http://schema.org/CreativeWork> 
C.A.D.	CAD (disambigua)	<http://it.wikipedia.org/wiki/CAD_(disambigua)>	
M.A.S.C.I.	Movimento Adulti Scout Cattolici Italiani	<http://it.wikipedia.org/wiki/Movimento_Adulti_Scout_Cattolici_Italiani>	
Vittad.	Carlo Vittadini	<http://it.wikipedia.org/wiki/Carlo_Vittadini>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Ltd.	LTD	<http://it.wikipedia.org/wiki/LTD>	
S.n.c.	SNC	<http://it.wikipedia.org/wiki/SNC>	
S.p.a.	Società per azioni	<http://it.wikipedia.org/wiki/Società_per_azioni>	
S.p.A.	Società per azioni	<http://it.wikipedia.org/wiki/Società_per_azioni>	
Them!	Assalto alla Terra	<http://it.wikipedia.org/wiki/Assalto_alla_Terra>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
Adaptation.	Il ladro di orchidee	<http://it.wikipedia.org/wiki/Il_ladro_di_orchidee>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
Airplane!	L'aereo più pazzo del mondo	<http://it.wikipedia.org/wiki/L'aereo_più_pazzo_del_mondo>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
Reprisal!	Rappresaglia (film 1956)	<http://it.wikipedia.org/wiki/Rappresaglia_(film_1956)>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
Star!	Un giorno... di prima mattina	<http://it.wikipedia.org/wiki/Un_giorno..._di_prima_mattina>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
E.R.	E.R. - Medici in prima linea	<http://it.wikipedia.org/wiki/E.R._-_Medici_in_prima_linea>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow>,<http://schema.org/CreativeWork> 
Groen!	Verdi (Belgio)	<http://it.wikipedia.org/wiki/Verdi_(Belgio)>	
S.h.a.r.p.	Skinhead against racial prejudice	<http://it.wikipedia.org/wiki/Skinhead_against_racial_prejudice>	
R.a.s.h.	Red and Anarchist Skin Heads	<http://it.wikipedia.org/wiki/Red_and_Anarchist_Skin_Heads>	
ZZAP!	Zzap!	<http://it.wikipedia.org/wiki/Zzap!>	
ZZap!	Zzap!	<http://it.wikipedia.org/wiki/Zzap!>	
Zzap64!	Zzap!	<http://it.wikipedia.org/wiki/Zzap!>	
C.N.R.	Consiglio Nazionale delle Ricerche	<http://it.wikipedia.org/wiki/Consiglio_Nazionale_delle_Ricerche>	
N.a.f.t.a.	North American Free Trade Agreement	<http://it.wikipedia.org/wiki/North_American_Free_Trade_Agreement>	
M.a.s.k.	M.A.S.K.	<http://it.wikipedia.org/wiki/M.A.S.K.>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/Cartoon>,<http://schema.org/CreativeWork> 
C.a.	CA	<http://it.wikipedia.org/wiki/CA>	
F.B.I.	Federal Bureau of Investigation	<http://it.wikipedia.org/wiki/Federal_Bureau_of_Investigation>	
D.i.	DI	<http://it.wikipedia.org/wiki/DI>	
R.e.c.	REC	<http://it.wikipedia.org/wiki/REC>	
P.O.U.M.	Partido Obrero de Unificación Marxista	<http://it.wikipedia.org/wiki/Partido_Obrero_de_Unificación_Marxista>	
S.d.b.	SDB	<http://it.wikipedia.org/wiki/SDB>	
Kree!	Goa'uld	<http://it.wikipedia.org/wiki/Goa'uld>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://dbpedia.org/ontology/FictionalCharacter>,<http://schema.org/Person> 
U.N.I.R.E.	Unione Nazionale Incremento Razze Equine	<http://it.wikipedia.org/wiki/Unione_Nazionale_Incremento_Razze_Equine>	
S.I.A.E.	Società Italiana degli Autori ed Editori	<http://it.wikipedia.org/wiki/Società_Italiana_degli_Autori_ed_Editori>	
T.A.R.	Tribunale Amministrativo Regionale	<http://it.wikipedia.org/wiki/Tribunale_Amministrativo_Regionale>	
C.O.N.I.	Comitato Olimpico Nazionale Italiano	<http://it.wikipedia.org/wiki/Comitato_Olimpico_Nazionale_Italiano>	
G.O.S.O.	Goliardicus Ordo Solis Orientis	<http://it.wikipedia.org/wiki/Goliardicus_Ordo_Solis_Orientis>	
L.A.G.O.	Lunaticus Astralisque Goliardicus Ordo	<http://it.wikipedia.org/wiki/Lunaticus_Astralisque_Goliardicus_Ordo>	
R.i.n.a.	Registro Italiano Navale	<http://it.wikipedia.org/wiki/Registro_Italiano_Navale>	
L.T.E.	Liquid Tension Experiment	<http://it.wikipedia.org/wiki/Liquid_Tension_Experiment>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
P.M.R.C.	Parents Music Resource Center	<http://it.wikipedia.org/wiki/Parents_Music_Resource_Center>	
Bechst.	Johann Matthäus Bechstein	<http://it.wikipedia.org/wiki/Johann_Matthäus_Bechstein>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
F.I.Te.T.	Federazione Italiana Tennistavolo	<http://it.wikipedia.org/wiki/Federazione_Italiana_Tennistavolo>	
Clerks.	Clerks - Commessi	<http://it.wikipedia.org/wiki/Clerks_-_Commessi>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
I.R.I.	IRI (disambigua)	<http://it.wikipedia.org/wiki/IRI_(disambigua)>	
IMPACT!	Impact Wrestling	<http://it.wikipedia.org/wiki/Impact_Wrestling>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow>,<http://schema.org/CreativeWork> 
CC.OO.	Commissioni Operaie	<http://it.wikipedia.org/wiki/Commissioni_Operaie>	
I.R.A.	Irish Republican Army	<http://it.wikipedia.org/wiki/Irish_Republican_Army>	
E.N.S.E.	Ente nazionale sementi elette	<http://it.wikipedia.org/wiki/Ente_nazionale_sementi_elette>	
I.N.P.S.	Istituto Nazionale Previdenza Sociale	<http://it.wikipedia.org/wiki/Istituto_Nazionale_Previdenza_Sociale>	
L.P.	Long playing	<http://it.wikipedia.org/wiki/Long_playing>	
S.J.	Compagnia di Gesù	<http://it.wikipedia.org/wiki/Compagnia_di_Gesù>	
U.C.O.I.I.	Unione delle Comunità e Organizzazioni Islamiche in Italia	<http://it.wikipedia.org/wiki/Unione_delle_Comunità_e_Organizzazioni_Islamiche_in_Italia>	
Up!	UP	<http://it.wikipedia.org/wiki/UP>	
P.I.L.	Prodotto interno lordo	<http://it.wikipedia.org/wiki/Prodotto_interno_lordo>	
S.Ha.R.K.	Soft Hard Real-Time Kernel	<http://it.wikipedia.org/wiki/Soft_Hard_Real-Time_Kernel>	
B.O.W.	Arma Bio-Organica	<http://it.wikipedia.org/wiki/Arma_Bio-Organica>	
Div.	Divisione (matematica)	<http://it.wikipedia.org/wiki/Divisione_(matematica)>	
Mod.	Operazione modulo	<http://it.wikipedia.org/wiki/Operazione_modulo>	
¡Quilombo!	Quilombo (album)	<http://it.wikipedia.org/wiki/Quilombo_(album)>	<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum> 
F.I.G.C.	Federazione Italiana Giuoco Calcio	<http://it.wikipedia.org/wiki/Federazione_Italiana_Giuoco_Calcio>	
C.C.C.P.	CCCP Fedeli alla linea	<http://it.wikipedia.org/wiki/CCCP_Fedeli_alla_linea>	<http://schema.org/MusicGroup>,<http://schema.org/Person>,<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person> 
U.N.P.L.I.	Pro loco	<http://it.wikipedia.org/wiki/Pro_loco>	
N.o.a.	NOA	<http://it.wikipedia.org/wiki/NOA>	
C.G.I.L.	Confederazione Generale Italiana del Lavoro	<http://it.wikipedia.org/wiki/Confederazione_Generale_Italiana_del_Lavoro>	
P.A.Y.	PAY (gruppo musicale)	<http://it.wikipedia.org/wiki/PAY_(gruppo_musicale)>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
C.S.Sp.	Congregazione dello Spirito Santo	<http://it.wikipedia.org/wiki/Congregazione_dello_Spirito_Santo>	
S.j.	SJ	<http://it.wikipedia.org/wiki/SJ>	
I.C.A.M.	Istituto a custodia attenuata per detenute madri con prole fino a tre anni	<http://it.wikipedia.org/wiki/Istituto_a_custodia_attenuata_per_detenute_madri_con_prole_fino_a_tre_anni>	
I.C.A.M.	Industria Cioccolato e Affini Morbegno	<http://it.wikipedia.org/wiki/Industria_Cioccolato_e_Affini_Morbegno>	<http://schema.org/Organization>,<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Company>,<http://dbpedia.org/ontology/Organisation> 
Raf.	Constantine Samuel Rafinesque-Schmaltz	<http://it.wikipedia.org/wiki/Constantine_Samuel_Rafinesque-Schmaltz>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
E.V.	Eingetragener Verein	<http://it.wikipedia.org/wiki/Eingetragener_Verein>	
C.r.a.z.y.	C.R.A.Z.Y.	<http://it.wikipedia.org/wiki/C.R.A.Z.Y.>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
A.c.a.b.	A.C.A.B.	<http://it.wikipedia.org/wiki/A.C.A.B.>	
F.I.N.	Federazione Italiana Nuoto	<http://it.wikipedia.org/wiki/Federazione_Italiana_Nuoto>	
F.e.m.	Forza elettromotrice	<http://it.wikipedia.org/wiki/Forza_elettromotrice>	
U.S.U.R.A.	U.s.u.r.a.	<http://it.wikipedia.org/wiki/U.s.u.r.a.>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
C.L.N.A.I.	Comitato di Liberazione Nazionale	<http://it.wikipedia.org/wiki/Comitato_di_Liberazione_Nazionale>	
N.B.A.	National Basketball Association	<http://it.wikipedia.org/wiki/National_Basketball_Association>	<http://dbpedia.org/ontology/Event>,<http://dbpedia.org/ontology/SportsEvent>,<http://schema.org/Event>,<http://schema.org/SportsEvent> 
T.E.	Terza Era	<http://it.wikipedia.org/wiki/Terza_Era>	
N.D.B.	Non-directional beacon	<http://it.wikipedia.org/wiki/Non-directional_beacon>	
N.E.R.D.	N.E.R.D	<http://it.wikipedia.org/wiki/N.E.R.D>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
C.c.r.	CCR	<http://it.wikipedia.org/wiki/CCR>	
RailRoads!	Sid Meier's RailRoads!	<http://it.wikipedia.org/wiki/Sid_Meier's_RailRoads!>	<http://dbpedia.org/ontology/Software>,<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/VideoGame>,<http://schema.org/CreativeWork> 
Ca.	CA	<http://it.wikipedia.org/wiki/CA>	
I.R.S.	I.R.S. Records	<http://it.wikipedia.org/wiki/I.R.S._Records>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Company>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
Schaeff.	Jacob Christian Schäffer	<http://it.wikipedia.org/wiki/Jacob_Christian_Schäffer>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
SPQRisiKo!	S.P.Q.RisiKo!	<http://it.wikipedia.org/wiki/S.P.Q.RisiKo!>	
P.N.F.	Partito Nazionale Fascista	<http://it.wikipedia.org/wiki/Partito_Nazionale_Fascista>	
Ma.Bra.	Maurizio Braccagni	<http://it.wikipedia.org/wiki/Maurizio_Braccagni>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
Sw.	Olof Swartz	<http://it.wikipedia.org/wiki/Olof_Swartz>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
A.F.I.S.	Amministrazione fiduciaria italiana della Somalia	<http://it.wikipedia.org/wiki/Amministrazione_fiduciaria_italiana_della_Somalia>	
C.L.N.	Comitato di Liberazione Nazionale	<http://it.wikipedia.org/wiki/Comitato_di_Liberazione_Nazionale>	
Feat.	Collaborazione musicale	<http://it.wikipedia.org/wiki/Collaborazione_musicale>	
E.N.I.	Eni	<http://it.wikipedia.org/wiki/Eni>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Company>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
E.N.P.A.L.S.	Ente Nazionale di Previdenza e Assistenza per i Lavoratori dello Spettacolo	<http://it.wikipedia.org/wiki/Ente_Nazionale_di_Previdenza_e_Assistenza_per_i_Lavoratori_dello_Spettacolo>	
C.L.	Comunione e Liberazione	<http://it.wikipedia.org/wiki/Comunione_e_Liberazione>	
Tomba!	Tombi!	<http://it.wikipedia.org/wiki/Tombi!>	<http://dbpedia.org/ontology/Software>,<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/VideoGame>,<http://schema.org/CreativeWork> 
Abra-catastrofe!	Due fantagenitori: Abra Catastrofe!	<http://it.wikipedia.org/wiki/Due_fantagenitori:_Abra_Catastrofe!>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
Abracatastrofe!	Due fantagenitori: Abra Catastrofe!	<http://it.wikipedia.org/wiki/Due_fantagenitori:_Abra_Catastrofe!>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
M.U.G.E.N.	Mugen	<http://it.wikipedia.org/wiki/Mugen>	<http://dbpedia.org/ontology/Software>,<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/VideoGame>,<http://schema.org/CreativeWork> 
